Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
SYC,2018,42.72,66297.33,0.070318945,0.000729191,0.00034501,0.000146118,0.0472693839016843,7.8062e-09,2.9
NAM,2018,43.94,2612405.8,0.142961425,0.057092405,0.001561126,0.003026083,0.0477236805792875,1.32074e-08,
MWI,2018,44.61,18883430.57,0.221647262,0.044580904,0.001879032,0.005147879,0.0402535292740586,2.29995e-08,1.3
KWT,2018,44.72,3846225.65,0.315368621,0.054854799,0.136264448,0.063814261,0.0734198317778498,8.59294e-08,2.01
SSD,2018,45.54,13378118.11,0.278407123,0.168636437,0.001171004,0.005964576,0.0414847714161119,3.09248e-08,
POL,2018,45.77,38508573.35,0.16131102,0.004451255,0.01129441,0.014531104,0.0522410823110515,1.3652e-08,6.49
COM,2018,47.12,607140.92,0.08166971,0.001465618,0.000494649,0.000427586,0.0504772589795502,8.57123e-09,2.16
ETH,2018,48.4,106841105.27,0.288980941,0.051300527,0.00135362,0.006545416,0.0459808404220085,3.23648e-08,0.33
HUN,2018,47.82,9751709.91,0.165243194,0.00924691,0.013277431,0.013780777,0.0522983857248582,1.42004e-08,6.95
KIR,2018,49.23,14027.09,0.05300219,0.000490807,0.000175084,1.19e-05,0.0395600567841087,5.70975e-09,1.59
DZA,2018,48.67,40688629.92,0.203819738,0.022983571,0.01356521,0.025423776,0.0644283696981126,3.00967e-08,1.6462500000000002
ZAF,2018,49.6,55514141.23,0.4880206,0.03555365,0.047695534,0.035251003,0.050220974766117,5.19242e-08,2.25
SRB,2018,50.0,6841292.31,0.160605048,0.014329123,0.019124596,0.009594839,0.0544681875295967,1.35099e-08,5.61
HND,2018,50.65,8352796.16,0.152169531,0.101057652,0.003013067,0.00560462,0.0451196465936859,1.98133e-08,0.65
ROU,2018,51.11,18694276.04,0.158640563,0.00925472,0.008139272,0.012073089,0.0529237077124506,1.18955e-08,6.92
FSM,2018,52.48,33537.49,0.062812783,0.000735267,0.0001472,2.72e-05,0.0475498044851104,5.76877e-09,
VNM,2018,51.55,93222655.06,0.383379859,0.043398874,0.010225462,0.016699585,0.0562779087716958,4.65707e-08,2.34
IRN,2018,51.76,81601866.66,0.374796558,0.031690775,0.038926781,0.04800492,0.06385096304649,4.65005e-08,1.93
GUY,2018,53.17,749848.37,0.088442929,0.032244217,0.000315783,0.000186847,0.0491359302260822,1.66812e-08,1.68
ZMB,2018,53.09,17796266.68,0.190788614,0.051682319,0.005775115,0.00437973,0.0448493588593087,1.89856e-08,2.0
HTI,2018,53.57,10526312.45,0.149651182,0.018452029,0.001081947,0.006721296,0.0588330401038952,2.11922e-08,5.29
BOL,2018,54.13,11240144.89,0.14160977,0.140855928,0.000352364,0.001868595,0.0317009519781184,7.46037e-09,1.26
GAB,2018,55.57,1748033.65,0.192992864,0.062147119,0.001351661,0.001989064,0.0420011555709002,2.13044e-08,1.95
LBY,2018,55.74,6499470.79,0.134675988,0.008319776,0.007260692,0.009334816,0.0649372831815,4.14298e-08,3.2
TUN,2018,56.07,11025533.71,0.194664442,0.010913867,0.019918489,0.0158294,0.0626572116128567,2.86602e-08,1.82
ZWE,2018,56.76,16602785.74,0.187063671,0.041460619,0.003059157,0.004823765,0.0457213863378126,1.56223e-08,1.8350000000000002
IDN,2018,57.45,255019911.35,0.26623112,0.053397129,0.020195681,0.014525197,0.0551600796585743,3.5292e-08,1.15
BWA,2018,58.2,2350006.91,0.133068249,0.051376138,0.005114995,0.003674517,0.0512519635029288,6.24067e-09,2.5
