Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
SVK,2018,35.87,15.504179954349674,0.15554653545306646,0.009753583776959073,0.01001830874063894,0.014567755113196185,0.0521775975198686,1.4135099900099474e-08,1.9021075263969205
LKA,2018,37.48,16.794768839912408,0.23773578412829507,0.03304123927974079,0.019017638881220423,0.012654297580502518,0.0557326034811065,3.7848199283756894e-08,1.5706970841176697
CZE,2018,37.59,16.171086062677233,0.16551489779950182,0.00667298006266785,0.008046263821969803,0.01836075300074991,0.0528122695903387,1.6040399871352783e-08,2.0438143640366846
PNG,2018,37.84,15.882057685352203,0.08623030127940139,0.10994260991160658,0.005105927537962717,0.0008724023463866891,0.0326341342321303,8.80094996127164e-09,
JOR,2018,37.72,15.882884327355768,0.2632256572083697,0.016482632993379234,0.062181522159056174,0.03893765675044338,0.0589061947807281,4.3851799038509843e-08,0.8796267475025636
FJI,2018,38.12,13.56663182952811,0.05787553264878042,0.00906871561195812,0.002030069014809556,0.0005281754907647725,0.0475637845548587,6.480779978999745e-09,1.0769507918869303
SUR,2018,39.24,13.221197540678734,0.08639468737567223,0.03169958582733184,0.0006092783522429386,0.00027602690106958035,0.0494848760874582,1.5900499873587053e-08,1.3480731482996928
NIC,2018,38.72,15.64533686976472,0.10010064355217681,0.04614223769488278,0.006203562057279007,0.0027336172614391007,0.0480035947171921,1.5564899878866945e-08,0.6678293725756554
TUR,2018,39.95,18.171126922878333,0.1365052791123314,0.013412269047679167,0.00845699757397159,0.013459218983628264,0.0570107087216061,1.627759986751987e-08,1.3217558399823195
LTU,2018,40.5,14.845764759341593,0.14565116334235068,0.0032123359197924906,0.004064083414034604,0.006850409275039219,0.0545669287779943,1.1984199928189476e-08,2.005525858729668
LVA,2018,40.91,14.447484306451482,0.14913338939229584,0.0036239645011294517,0.0030910617425037924,0.006332831227781984,0.0550874213577044,1.187389992950525e-08,1.8702625307159986
RUS,2018,42.12,18.790664910978176,0.1434516920861589,0.005926920057321237,0.011421697367315433,0.019820928109110972,0.0515379845648983,1.1390399935129394e-08,2.096790180014449
GTM,2018,42.07,16.668127006611527,0.20499583147099082,0.08522076880723464,0.00735369716946643,0.012436536690446327,0.0474172595118578,2.5080399685486772e-08,0.3646431135879093
SYC,2018,42.72,11.101919987319764,0.06795668349621736,0.0007289252694138141,0.0003449504977354741,0.00014610732580482006,0.0472693839016843,7.806199969531621e-09,1.3609765531356006
NAM,2018,43.94,14.7757824999777,0.13362263533677976,0.055522125015936716,0.0015599087095372443,0.003021513626719583,0.0477236805792875,1.3207399912782293e-08,
MWI,2018,44.61,16.75379545905144,0.2002001627790089,0.043615756171366996,0.0018772688277307256,0.005134673970110035,0.0402535292740586,2.2999499735511504e-08,0.832909122935104
KWT,2018,44.72,15.162603134751732,0.2741169464994662,0.05340312617635529,0.12774608194026127,0.061860808951584384,0.0734198317778498,8.592939630806932e-08,1.1019400787607843
SSD,2018,45.54,16.409131028044385,0.24561486782286132,0.1558376306966098,0.0011703189095929054,0.005946858333906904,0.0414847714161119,3.0924799521828384e-08,
POL,2018,45.77,17.466391484851346,0.14954955658991773,0.004441377465232783,0.011231104371899352,0.014426539251888283,0.0522410823110515,1.3651999906811449e-08,2.0135687975291283
COM,2018,47.12,13.316517848314684,0.07850587504330762,0.001464545030187009,0.0004945267015116208,0.000427494611156434,0.0504772589795502,8.571229963267008e-09,1.1505720275988207
ETH,2018,48.4,18.486853300607688,0.25385193796721056,0.05002799488364693,0.0013527046823495457,0.006524087782144786,0.0459808404220085,3.2364799476259876e-08,0.28517894223366236
HUN,2018,47.82,16.092953305528294,0.15292981544696185,0.009204419066761246,0.013190058451962276,0.013686685542747204,0.0522983857248582,1.4200399899174321e-08,2.0731719286662407
KIR,2018,49.23,9.548817026979437,0.0516453129217555,0.0004906865936402874,0.00017506867458526917,1.1899929195561714e-05,0.0395600567841087,5.709749983699378e-09,0.9516578757114464
DZA,2018,48.67,17.521459272815598,0.18549961640847773,0.022723427211988716,0.013474026231317694,0.025105967147604193,0.0644283696981126,3.0096699547094334e-08,0.973143543466938
ZAF,2018,49.6,17.8321483612118,0.39744678040109316,0.03493621123083203,0.046593022697085165,0.034643912291174576,0.050220974766117,5.192419865193877e-08,1.1786549963416462
SRB,2018,50.0,15.738487352134642,0.14894146223932173,0.014227431400120753,0.018944019582362987,0.009549100866230668,0.0544681875295967,1.3509899908741302e-08,1.888583653863595
HND,2018,50.65,15.938107029952233,0.14164671377277546,0.09627121967571824,0.0030085368111871613,0.0055889725554233525,0.0451196465936859,1.9813299803716575e-08,0.5007752879124893
