Country_ISO,Year,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds,mortality_cluster
KWT,2018,15.162603134751732,0.2741169464994662,0.0534031261763552,0.1277460819402612,0.0618608089515843,0.0734198317778498,8.592939630806933e-08,1.1019400787607845,1
SSD,2018,16.409131028044385,0.2456148678228613,0.1558376306966098,0.0011703189095929,0.0059468583339069,0.0414847714161119,3.0924799521828384e-08,0.7701082216960736,1
POL,2018,17.466391484851346,0.1495495565899177,0.0044413774652327,0.0112311043718993,0.0144265392518882,0.0522410823110515,1.3651999906811449e-08,2.0135687975291283,1
COM,2018,13.316517848314684,0.0785058750433076,0.001464545030187,0.0004945267015116,0.0004274946111564,0.0504772589795502,8.571229963267008e-09,1.1505720275988207,1
ETH,2018,18.486853300607688,0.2538519379672105,0.0500279948836469,0.0013527046823495,0.0065240877821447,0.0459808404220085,3.236479947625988e-08,0.2851789422336623,1
HUN,2018,16.092953305528294,0.1529298154469618,0.0092044190667612,0.0131900584519622,0.0136866855427472,0.0522983857248582,1.420039989917432e-08,2.0731719286662407,1
KIR,2018,9.548817026979435,0.0516453129217555,0.0004906865936402,0.0001750686745852,1.1899929195561714e-05,0.0395600567841087,5.709749983699378e-09,0.9516578757114464,1
DZA,2018,17.521459272815598,0.1854996164084777,0.0227234272119887,0.0134740262313176,0.0251059671476041,0.0644283696981126,3.0096699547094334e-08,0.973143543466938,1
ZAF,2018,17.8321483612118,0.3974467804010931,0.034936211230832,0.0465930226970851,0.0346439122911745,0.050220974766117,5.192419865193877e-08,1.1786549963416462,1
SRB,2018,15.738487352134642,0.1489414622393217,0.0142274314001207,0.0189440195823629,0.0095491008662306,0.0544681875295967,1.3509899908741302e-08,1.888583653863595,1
HND,2018,15.938107029952231,0.1416467137727754,0.0962712196757182,0.0030085368111871,0.0055889725554233,0.0451196465936859,1.9813299803716572e-08,0.5007752879124893,1
ROU,2018,16.74372799434311,0.1472473894248663,0.0092121574801308,0.0081063267717087,0.0120007905893825,0.0529237077124506,1.189549992924854e-08,2.069391205826334,1
FSM,2018,10.420449013493128,0.0609189624939672,0.0007349968236457,0.000147189167143,2.7199630086707746e-05,0.0475498044851104,5.768769983360646e-09,1.247032293786383,1
VNM,2018,18.350501340886577,0.3245296780209684,0.0424835324413023,0.0101735356440955,0.0165616801155567,0.0562779087716958,4.657069891558498e-08,1.205970806988609,1
IRN,2018,18.217362707662605,0.318305762353515,0.0311989855314402,0.0381882389890669,0.0468882805443191,0.06385096304649,4.6500498918851785e-08,1.075002423028976,1
GUY,2018,13.52762762534144,0.0847481694497518,0.0317352834433513,0.0003157331510424,0.0001868295462733,0.0491359302260822,1.6681199860868783e-08,0.9858167945227652,1
ZMB,2018,16.694499312377324,0.1746157884745373,0.0503910905740571,0.0057585029503473,0.0043701668949415,0.0448493588593087,1.8985599819773495e-08,1.0986122886681098,1
HTI,2018,16.169388723095846,0.1394585763643432,0.0182838559191424,0.0010813621171813,0.0066988087959072,0.0588330401038952,2.119219977544533e-08,1.8389610707123487,1
BOL,2018,16.235002381882953,0.1324393453078491,0.1317787947216381,0.0003523019343851,0.0018668513481445,0.0317009519781184,7.460369972171441e-09,0.8153648132841945,1
GAB,2018,14.374002657655614,0.1764651615387947,0.0602924433571611,0.0013507483285928,0.0019870884314563,0.0420011555709002,2.1304399773061277e-08,1.0818051703517284,1
LBY,2018,15.68723146848692,0.1263471370504028,0.0082853574350501,0.0072344600739335,0.0092915158624206,0.0649372831815,4.1429799141785864e-08,1.4350845252893227,1
TUN,2018,16.21572447789435,0.1778653442776619,0.0108547405632648,0.0197227113578881,0.0157054216714325,0.0626572116128567,2.8660199589296475e-08,1.0367368849500225,1
ZWE,2018,16.625081115140805,0.1714827544585303,0.0406241691941155,0.0030544873003636,0.0048121679250354,0.0457213863378126,1.5622299877971873e-08,1.0420419371797154,1
IDN,2018,19.35685218772108,0.23604486630178,0.0520203026030239,0.0199944530140972,0.0144207168407535,0.0551600796585743,3.5291999377237385e-08,0.7654678421395714,1
BWA,2018,14.669929252072125,0.1249292176544399,0.0500999136919841,0.0051019578508121,0.0036677824548336,0.0512519635029288,6.240669980527019e-09,1.252762968495368,1
SLB,2018,13.015475829759728,0.055955018049599,0.0178688784162469,0.0002695726620247,5.329857960547113e-05,0.0433787325443826,7.073029974986124e-09,1.247032293786383,1
VUT,2018,12.23494038379929,0.0546116056977601,0.0035226212779595,0.000766505159848,0.0001668640774154,0.0502560455337036,8.185519966498631e-09,1.247032293786383,1
TLS,2018,14.030998358661398,0.102654572694142,0.0329364943242648,0.0005009245163627,0.0007195960286632,0.0489649561200789,1.043039994560338e-08,0.3506568716131693,1
LBN,2018,15.373091554047909,0.2687616551489032,0.0102587535830175,0.036253547197777,0.0342943784757965,0.0609776752953191,3.958619921646641e-08,1.316408233655724,1
KHM,2018,16.603352727615285,0.2050864311896329,0.0724075443168397,0.0051968012067414,0.0069751390590533,0.0509318313027765,2.7197099630158883e-08,0.5481214085096876,1
AGO,2018,17.105431208367683,0.2107655704137722,0.0644387711627078,0.0021619493025285,0.0054186684629551,0.0477316272305844,2.4672599695631413e-08,0.7701082216960736,1
CPV,2018,13.029358043401066,0.0831719661255319,0.0009251649029412,0.000523963707039,0.0003626572319158,0.0626641422494447,3.045289953631045e-08,1.1600209167967532,1
MDG,2018,17.078412152803082,0.1297045015337467,0.0402608710399167,0.000622390274984,0.0027905986551078,0.043409610625643,1.1151099937826484e-08,0.2795238847503174,1
MAR,2018,17.393438352565596,0.1669869800270851,0.0175148928182387,0.0159469842404363,0.0140362256699786,0.06012562248168,1.9772299804528082e-08,0.5364933705145685,1
BTN,2018,13.780580764035568,0.3826646288206813,0.0502518354073652,0.0059582632430354,0.0099917913798071,0.0592033781762213,3.716989930919929e-08,1.000631880307906,1
MYS,2018,17.216120683558668,0.2229932240156275,0.1029745442906272,0.0078661862744461,0.0161162261553468,0.0546307438889459,2.7265399628298988e-08,1.0647107369924282,1
DJI,2018,13.630552364296223,0.132339576819129,0.0059132551944394,0.0021728785885518,0.0030436394266943,0.0599220431683611,2.922239957302568e-08,0.8754687373538999,1
UGA,2018,17.579683722787465,0.3114628008655394,0.0706706219428899,0.0162786321755115,0.0071077936795169,0.0473861610908062,3.7185499308619315e-08,0.4054651081081644,1
LBR,2018,15.317990497262274,0.1680431825752808,0.044324548131594,0.0007919862960424,0.0016522882197022,0.0480895549382715,3.005909954822526e-08,0.9707789171582248,1
BIH,2018,15.153350758959052,0.1418538120198482,0.017291808218584,0.0125027241895224,0.0075406100046092,0.0561702873649503,1.2649099920000135e-08,1.220829921392359,1
GNQ,2018,13.675803219098317,0.1595161089915972,0.0406144981143647,0.0018202373623602,0.0011433021809143,0.0465794020318899,2.1742999763620985e-08,1.1314021114911006,1
MDA,2018,15.188886603292934,0.12802258760739,0.0045284530614842,0.0118729082489454,0.0070202214803132,0.0558457062805809,9.944059950557835e-09,1.9095425048844383,1
ALB,2018,14.85524342565002,0.1304245653056927,0.0097973102352193,0.0065411598914045,0.0073598070548093,0.0605773051506406,1.2558299921144552e-08,1.3428648031925547,1
RWA,2018,16.331337658581248,0.4376290234790439,0.0481573554167724,0.1158389186405195,0.0134512696664578,0.0460586386135879,6.975549756708523e-08,0.5481214085096876,1
MRT,2018,15.26655370014682,0.1066143184185411,0.0210775123240163,0.0012848901749588,0.0020002202250845,0.0539570457778618,8.040959676714828e-08,0.7701082216960736,1
SWZ,2018,14.081658784976147,0.2190469452702754,0.0406427794221887,0.0078944159373752,0.0108374431932295,0.0475115571157521,2.5139699683997745e-08,1.1052568313867783,1
MOZ,2018,17.218645654044657,0.1352053027299657,0.0412968094577994,0.0008102066938973,0.0027598321573562,0.0441293824698919,1.5759199875823812e-08,0.5709795465857378,1
SOM,2018,16.27176304630816,0.0848167999994895,0.0318199758992729,0.0003329385698029,0.000364364611152,0.0482471330299263,1.3055599914775654e-08,0.6259384308664953,1
LAO,2018,15.780544032213758,0.2920328650125718,0.1094984270816904,0.0042390206431585,0.0065333113671282,0.0512797503165076,3.100729951927368e-08,0.9001613499442714,1
COG,2018,15.34361087972559,0.2427406139540114,0.1651321967884584,0.0040713677231179,0.0033569441527407,0.0383099494280213,2.8077599605824195e-08,0.7701082216960736,1
SEN,2018,16.602718034244955,0.1422078695246041,0.0201497248939756,0.0268227792467144,0.0039094182564088,0.05492737105031,6.271679803330159e-08,0.5306282510621704,1
MNE,2018,13.337920270668556,0.1296541696504087,0.0123128092891993,0.0064069764225603,0.0052996052518954,0.0599074255301595,1.1353799935545613e-08,1.599387576580599,1
CHN,2018,21.037790006663457,0.5267717785396041,0.023751510380377,0.0753478007485122,0.0687397535886522,0.0542144354094085,9.217919575149781e-08,1.7209792871670078,1
MKD,2018,14.55607708736502,0.1440106983972707,0.0153594119950986,0.0231669586403079,0.0117660131870871,0.0554769522434883,1.3085499914384846e-08,1.715598108262491,1
BHR,2018,13.616845327989022,0.2188475920810086,0.0282567831377666,0.0364805237997298,0.0357087881729212,0.0791460829476236,6.03780981772426e-08,1.0331844833456545,1
UKR,2018,17.545290900206282,0.1315090397968867,0.0043153176092212,0.0099177857691271,0.0114532187729327,0.0527706544430796,1.0191499948066664e-08,2.038619547159581,1
BGR,2018,15.807336059882786,0.1478622634023785,0.0124836351680241,0.0272376872361273,0.0123250969814841,0.0535233209833037,1.2286999924514815e-08,2.1482677326096886,1
BGD,2018,18.898817928165908,0.5514328260680488,0.0474495211471309,0.0213642064162062,0.0277896051251576,0.0587163239249231,9.590459540115415e-08,0.6312717768418579,1
MLI,2018,16.779978643422552,0.1547742413723419,0.0602078140229573,0.0006645671263415,0.0035543607691153,0.0447656681544493,4.3245299064922045e-08,0.2231435513142097,1
GEO,2018,15.185430329247753,0.1249996548846775,0.0170832134319501,0.0053497435696447,0.0061114221583317,0.0540038422044099,1.2245699925021416e-08,1.6524974018945473,1
BLR,2018,16.060851351783274,0.1270394016792405,0.0039480133290906,0.0042742493677276,0.0086816640594289,0.0519294531454373,9.044979959094168e-09,2.391511302188447,1
MMR,2018,17.810584747459185,0.2466495190468096,0.0986139137332941,0.0039293669163562,0.0048102422123577,0.0492022663731827,2.868999958844196e-08,0.7227059828014898,1
SDN,2018,17.580615798490076,0.1436654191046159,0.0316568367204332,0.0017839268558709,0.0039275351266058,0.0562180499557802,3.6105599348192845e-08,0.5068176023684519,1
ARE,2018,16.00850451215446,0.246684707867595,0.052031287003998,0.0291974466692209,0.0563522281262232,0.079093051361621,7.205509740403142e-08,0.9555114450274363,1
BDI,2018,16.323569812374632,0.3600849283277819,0.0401356512005552,0.0099228581985704,0.0100515376127793,0.0440976761239773,4.60515989396251e-08,0.585933096252796,1
KAZ,2018,16.71579605143455,0.1274582774108882,0.0071454205696701,0.010474649809601,0.0084551740591491,0.0552777638648835,1.5649099877552833e-08,1.824549292051046,1
COD,2018,18.26008609689383,0.3084030308939842,0.1912619190546266,0.0129000454712908,0.0056917174015875,0.0380649299359593,3.6849899321042454e-08,0.7701082216960736,1
ARM,2018,14.93466374708949,0.1433416848361041,0.0115586674792139,0.0092731659852183,0.0095993058847753,0.0567498891290269,1.8667799825756625e-08,1.6448050562713916,1
FIN,2018,15.4748217905996,0.1247207998405971,0.0024563377308671,0.0016693997764622,0.0206947165211384,0.0511358521145165,6.379409979651564e-09,1.5282278570085572,0
AUS,2018,16.999030140503763,0.0793005929899245,0.0383723591720124,0.0080480920505347,0.0141689072626425,0.0487824942625143,7.83105996933725e-09,1.5611476233063195,0
NOR,2018,15.410459340080992,0.1252383074820233,0.0056273755795279,0.0043021972635754,0.010661204855035,0.0558825951408008,6.083669981494481e-09,1.5085119938441398,0
NPL,2018,17.234183000108658,0.6416734951660734,0.0630114116366834,0.0143477864707624,0.0173463887006329,0.0608657999999637,9.231509573896143e-08,0.2546422183735807,2
ERI,2018,15.558535900952744,0.1806558243984019,0.0320209560303346,0.0017960092094768,0.0044937141257277,0.0584524947045626,2.658509964661624e-08,0.7701082216960736,2
BEN,2018,16.283063459552523,0.229968224563367,0.0344908468738204,0.0023674374072654,0.0051642462958389,0.0522155334287789,4.6020498941056825e-08,0.3646431135879093,2
SYR,2018,16.806261155550022,0.2173658782594404,0.0147038407446993,0.025296446831142,0.0250823327371698,0.059001128070523,3.6990799315840384e-08,0.8153648132841945,2
NGA,2018,19.091186310836225,0.3463077963905538,0.0407523684164142,0.0035304326822017,0.0107380808926562,0.0538995918557057,7.089659748683618e-08,0.7701082216960736,2
IRQ,2018,17.492667875250966,0.2604824989028709,0.0298191528134122,0.0311904247901616,0.030395630643744,0.0627211333112799,6.291399802091439e-08,0.7227059828014898,2
STP,2018,11.90344044135904,0.1033020116915862,0.0012871602537023,0.0001461043262431,0.0001295666058847,0.0512712755661205,1.3865299903876731e-08,0.7701082216960736,2
